2026-03-20 09:48:57 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=09/batch_1773974937_a10a106a.json
2026-03-20 09:49:37 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=09/batch_1773974977_75f10e74.json
2026-03-20 09:50:17 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=09/batch_1773975017_6752cb85.json
2026-03-20 09:50:57 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=09/batch_1773975057_96f775b6.json
2026-03-20 09:51:37 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=09/batch_1773975097_c4a3ced6.json
2026-03-20 09:52:17 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=09/batch_1773975137_839355b7.json
2026-03-20 09:52:57 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=09/batch_1773975177_1c73023b.json
2026-03-20 09:53:37 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=09/batch_1773975217_82d3f281.json
2026-03-20 09:54:17 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=09/batch_1773975257_4a0cf608.json
2026-03-20 09:54:57 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=09/batch_1773975297_2ceb2e56.json
2026-03-20 09:55:37 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=09/batch_1773975337_0e8cf0ec.json
2026-03-20 09:56:18 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=09/batch_1773975377_f43fba81.json
2026-03-20 09:56:58 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=09/batch_1773975418_c86f0990.json
2026-03-20 09:57:38 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=09/batch_1773975458_33d6f218.json
2026-03-20 09:58:18 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=09/batch_1773975498_7816222a.json
2026-03-20 09:58:58 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=09/batch_1773975538_4322b427.json
2026-03-20 09:59:38 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=09/batch_1773975578_573802e1.json
2026-03-20 10:00:18 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=10/batch_1773975618_bd3b2096.json
2026-03-20 10:00:58 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=10/batch_1773975658_ec62d84f.json
2026-03-20 10:01:38 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=10/batch_1773975698_3ab8b2fc.json
2026-03-20 10:02:18 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=10/batch_1773975738_aa9d9b90.json
2026-03-20 10:02:58 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=10/batch_1773975778_8c56bc02.json
2026-03-20 10:03:38 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=10/batch_1773975818_71600842.json
2026-03-20 10:04:18 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=10/batch_1773975858_0bcf968a.json
2026-03-20 10:04:59 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=10/batch_1773975899_70fd3b9b.json
2026-03-20 10:05:39 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=10/batch_1773975939_650469bd.json
2026-03-20 10:06:19 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=10/batch_1773975979_8cb2e109.json
2026-03-20 10:06:59 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=10/batch_1773976019_a4aaf499.json
2026-03-20 10:07:39 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=10/batch_1773976059_669bb3c5.json
2026-03-20 10:08:19 | INFO     | kafka_to_minio            | ✅ Đã lưu 100 bản ghi vào: year=2026/month=03/day=20/hour=10/batch_1773976099_331d3c40.json
