2026-03-18 12:34:00 | ERROR    | kibana_dashboard_setup    |   ❌ Import thất bại: 500 - {"statusCode":500,"error":"Internal Server Error","message":"An internal server error occurred. Check Kibana server logs for details."}
2026-03-18 12:34:00 | INFO     | kibana_dashboard_setup    | ============================================================
2026-03-18 12:34:00 | WARNING  | kibana_dashboard_setup    | ⚠️  SETUP HOÀN TẤT VỚI MỘT SỐ LỖI (xem log ở trên)
2026-03-18 12:34:00 | INFO     | kibana_dashboard_setup    | ============================================================
2026-03-18 13:35:53 | INFO     | kibana_dashboard_setup    | 🚦 Smart Traffic Analytics — Kibana Dashboard Setup
2026-03-18 13:35:53 | INFO     | kibana_dashboard_setup    |    Kibana URL: http://localhost:5601
2026-03-18 13:35:53 | INFO     | kibana_dashboard_setup    | Kibana URL: http://localhost:5601
2026-03-18 13:35:53 | INFO     | kibana_dashboard_setup    | ============================================================
2026-03-18 13:35:53 | INFO     | kibana_dashboard_setup    | 🚦 BẮT ĐẦU SETUP KIBANA DASHBOARD
2026-03-18 13:35:53 | INFO     | kibana_dashboard_setup    | ============================================================
2026-03-18 13:35:53 | INFO     | kibana_dashboard_setup    | Đợi Kibana sẵn sàng (timeout=120s)...
2026-03-18 13:35:53 | INFO     | kibana_dashboard_setup    | ✅ Kibana sẵn sàng!
2026-03-18 13:35:53 | INFO     | kibana_dashboard_setup    | Tạo Data View: traffic-realtime...
2026-03-18 13:35:53 | INFO     | kibana_dashboard_setup    |   ✅ Data View 'traffic-realtime' đã tạo.
2026-03-18 13:35:53 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 🗺️ Traffic Map - Bản đồ giao thông...
2026-03-18 13:35:54 | INFO     | kibana_dashboard_setup    |     ✅ 🗺️ Traffic Map - Bản đồ giao thông
2026-03-18 13:35:54 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 📊 Tốc độ trung bình theo thời gian...
2026-03-18 13:35:55 | INFO     | kibana_dashboard_setup    |     ✅ 📊 Tốc độ trung bình theo thời gian
2026-03-18 13:35:55 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 🚗 Lưu lượng xe theo thời gian...
2026-03-18 13:35:56 | INFO     | kibana_dashboard_setup    |     ✅ 🚗 Lưu lượng xe theo thời gian
2026-03-18 13:35:56 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 🔴 Tỷ lệ mức độ tắc nghẽn...
2026-03-18 13:35:57 | INFO     | kibana_dashboard_setup    |     ✅ 🔴 Tỷ lệ mức độ tắc nghẽn
2026-03-18 13:35:57 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 📈 Tốc độ hiện tại (Avg / Min / Max)...
2026-03-18 13:35:58 | INFO     | kibana_dashboard_setup    |     ✅ 📈 Tốc độ hiện tại (Avg / Min / Max)
2026-03-18 13:35:58 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 📋 Chi tiết theo Sensor...
2026-03-18 13:35:59 | INFO     | kibana_dashboard_setup    |     ✅ 📋 Chi tiết theo Sensor
2026-03-18 13:35:59 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 🔢 Tổng số phương tiện...
2026-03-18 13:36:00 | INFO     | kibana_dashboard_setup    |     ✅ 🔢 Tổng số phương tiện
2026-03-18 13:36:00 | INFO     | kibana_dashboard_setup    | Đã tạo 7/7 visualizations.
2026-03-18 13:36:00 | INFO     | kibana_dashboard_setup    | Tạo Dashboard: 🚦 Smart Traffic Analytics - Real-time Dashboard...
2026-03-18 13:36:01 | INFO     | kibana_dashboard_setup    |   ✅ Dashboard '🚦 Smart Traffic Analytics - Real-time Dashboard' đã tạo!
2026-03-18 13:36:01 | INFO     | kibana_dashboard_setup    | ============================================================
2026-03-18 13:36:01 | INFO     | kibana_dashboard_setup    | ✅ SETUP HOÀN TẤT!
2026-03-18 13:36:01 | INFO     | kibana_dashboard_setup    |    Mở Dashboard tại: http://localhost:5601/app/dashboards#/view/smart-traffic-dashboard
2026-03-18 13:36:01 | INFO     | kibana_dashboard_setup    | ============================================================
2026-03-18 13:47:09 | INFO     | kibana_dashboard_setup    | 🚦 Smart Traffic Analytics — Kibana Dashboard Setup
2026-03-18 13:47:09 | INFO     | kibana_dashboard_setup    |    Kibana URL: http://localhost:5601
2026-03-18 13:47:09 | INFO     | kibana_dashboard_setup    | Kibana URL: http://localhost:5601
2026-03-18 13:47:09 | INFO     | kibana_dashboard_setup    | ============================================================
2026-03-18 13:47:09 | INFO     | kibana_dashboard_setup    | 🚦 BẮT ĐẦU SETUP KIBANA DASHBOARD
2026-03-18 13:47:09 | INFO     | kibana_dashboard_setup    | ============================================================
2026-03-18 13:47:09 | INFO     | kibana_dashboard_setup    | Đợi Kibana sẵn sàng (timeout=120s)...
2026-03-18 13:47:09 | INFO     | kibana_dashboard_setup    | ✅ Kibana sẵn sàng!
2026-03-18 13:47:09 | INFO     | kibana_dashboard_setup    | 🗑️  Xóa saved objects cũ...
2026-03-18 13:47:09 | INFO     | kibana_dashboard_setup    |   🗑️  Đã xóa dashboard/smart-traffic-dashboard
2026-03-18 13:47:10 | INFO     | kibana_dashboard_setup    |   🗑️  Đã xóa visualization/traffic-map-viz
2026-03-18 13:47:11 | INFO     | kibana_dashboard_setup    |   🗑️  Đã xóa visualization/avg-speed-over-time-viz
2026-03-18 13:47:12 | INFO     | kibana_dashboard_setup    |   🗑️  Đã xóa visualization/vehicle-count-viz
2026-03-18 13:47:14 | INFO     | kibana_dashboard_setup    |   🗑️  Đã xóa visualization/congestion-pie-viz
2026-03-18 13:47:15 | INFO     | kibana_dashboard_setup    |   🗑️  Đã xóa visualization/speed-metrics-viz
2026-03-18 13:47:16 | INFO     | kibana_dashboard_setup    |   🗑️  Đã xóa visualization/sensor-table-viz
2026-03-18 13:47:17 | INFO     | kibana_dashboard_setup    |   🗑️  Đã xóa visualization/total-vehicles-viz
2026-03-18 13:47:17 | INFO     | kibana_dashboard_setup    |   ✅ Đã xóa xong saved objects cũ.
2026-03-18 13:47:17 | INFO     | kibana_dashboard_setup    | Tạo Data View: traffic-realtime...
2026-03-18 13:47:17 | ERROR    | kibana_dashboard_setup    |   ❌ Lỗi tạo Data View: 400 - {"statusCode":400,"error":"Bad Request","message":"Duplicate data view: traffic-realtime"}
2026-03-18 13:47:17 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 🗺️ Traffic Map - Bản đồ giao thông...
2026-03-18 13:47:18 | INFO     | kibana_dashboard_setup    |     ✅ 🗺️ Traffic Map - Bản đồ giao thông
2026-03-18 13:47:18 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 📊 Tốc độ trung bình theo thời gian...
2026-03-18 13:47:19 | INFO     | kibana_dashboard_setup    |     ✅ 📊 Tốc độ trung bình theo thời gian
2026-03-18 13:47:19 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 🚗 Lưu lượng xe theo thời gian...
2026-03-18 13:47:20 | INFO     | kibana_dashboard_setup    |     ✅ 🚗 Lưu lượng xe theo thời gian
2026-03-18 13:47:20 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 🔴 Tỷ lệ mức độ tắc nghẽn...
2026-03-18 13:47:21 | INFO     | kibana_dashboard_setup    |     ✅ 🔴 Tỷ lệ mức độ tắc nghẽn
2026-03-18 13:47:21 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 📈 Tốc độ hiện tại (Avg / Min / Max)...
2026-03-18 13:47:22 | INFO     | kibana_dashboard_setup    |     ✅ 📈 Tốc độ hiện tại (Avg / Min / Max)
2026-03-18 13:47:22 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 📋 Chi tiết theo Sensor...
2026-03-18 13:47:23 | INFO     | kibana_dashboard_setup    |     ✅ 📋 Chi tiết theo Sensor
2026-03-18 13:47:23 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 🔢 Tổng số phương tiện...
2026-03-18 13:47:24 | INFO     | kibana_dashboard_setup    |     ✅ 🔢 Tổng số phương tiện
2026-03-18 13:47:24 | INFO     | kibana_dashboard_setup    | Đã tạo 7/7 visualizations.
2026-03-18 13:47:24 | INFO     | kibana_dashboard_setup    | Tạo Dashboard: 🚦 Smart Traffic Analytics - Real-time Dashboard...
2026-03-18 13:47:25 | INFO     | kibana_dashboard_setup    |   ✅ Dashboard '🚦 Smart Traffic Analytics - Real-time Dashboard' đã tạo!
2026-03-18 13:47:25 | INFO     | kibana_dashboard_setup    | ============================================================
2026-03-18 13:47:25 | WARNING  | kibana_dashboard_setup    | ⚠️  SETUP HOÀN TẤT VỚI MỘT SỐ LỖI (xem log ở trên)
2026-03-18 13:47:25 | INFO     | kibana_dashboard_setup    | ============================================================
2026-03-18 13:50:24 | INFO     | kibana_dashboard_setup    | 🚦 Smart Traffic Analytics — Kibana Dashboard Setup
2026-03-18 13:50:24 | INFO     | kibana_dashboard_setup    |    Kibana URL: http://localhost:5601
2026-03-18 13:50:24 | INFO     | kibana_dashboard_setup    | Kibana URL: http://localhost:5601
2026-03-18 13:50:24 | INFO     | kibana_dashboard_setup    | ============================================================
2026-03-18 13:50:24 | INFO     | kibana_dashboard_setup    | 🚦 BẮT ĐẦU SETUP KIBANA DASHBOARD
2026-03-18 13:50:24 | INFO     | kibana_dashboard_setup    | ============================================================
2026-03-18 13:50:24 | INFO     | kibana_dashboard_setup    | Đợi Kibana sẵn sàng (timeout=120s)...
2026-03-18 13:50:24 | INFO     | kibana_dashboard_setup    | ✅ Kibana sẵn sàng!
2026-03-18 13:50:24 | INFO     | kibana_dashboard_setup    | 🗑️  Xóa saved objects cũ...
2026-03-18 13:50:25 | INFO     | kibana_dashboard_setup    |   🗑️  Đã xóa dashboard/smart-traffic-dashboard
2026-03-18 13:50:26 | INFO     | kibana_dashboard_setup    |   🗑️  Đã xóa visualization/traffic-map-viz
2026-03-18 13:50:27 | INFO     | kibana_dashboard_setup    |   🗑️  Đã xóa visualization/avg-speed-over-time-viz
2026-03-18 13:50:28 | INFO     | kibana_dashboard_setup    |   🗑️  Đã xóa visualization/vehicle-count-viz
2026-03-18 13:50:29 | INFO     | kibana_dashboard_setup    |   🗑️  Đã xóa visualization/congestion-pie-viz
2026-03-18 13:50:30 | INFO     | kibana_dashboard_setup    |   🗑️  Đã xóa visualization/speed-metrics-viz
2026-03-18 13:50:31 | INFO     | kibana_dashboard_setup    |   🗑️  Đã xóa visualization/sensor-table-viz
2026-03-18 13:50:32 | INFO     | kibana_dashboard_setup    |   🗑️  Đã xóa visualization/total-vehicles-viz
2026-03-18 13:50:32 | INFO     | kibana_dashboard_setup    |   ✅ Đã xóa xong saved objects cũ.
2026-03-18 13:50:32 | INFO     | kibana_dashboard_setup    | Tạo Data View: traffic-realtime...
2026-03-18 13:50:32 | INFO     | kibana_dashboard_setup    |   ℹ️  Data View 'traffic-realtime' đã tồn tại.
2026-03-18 13:50:32 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 🗺️ Traffic Map - Bản đồ giao thông...
2026-03-18 13:50:33 | INFO     | kibana_dashboard_setup    |     ✅ 🗺️ Traffic Map - Bản đồ giao thông
2026-03-18 13:50:33 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 📊 Tốc độ trung bình theo thời gian...
2026-03-18 13:50:34 | INFO     | kibana_dashboard_setup    |     ✅ 📊 Tốc độ trung bình theo thời gian
2026-03-18 13:50:34 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 🚗 Lưu lượng xe theo thời gian...
2026-03-18 13:50:35 | INFO     | kibana_dashboard_setup    |     ✅ 🚗 Lưu lượng xe theo thời gian
2026-03-18 13:50:35 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 🔴 Tỷ lệ mức độ tắc nghẽn...
2026-03-18 13:50:36 | INFO     | kibana_dashboard_setup    |     ✅ 🔴 Tỷ lệ mức độ tắc nghẽn
2026-03-18 13:50:36 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 📈 Tốc độ hiện tại (Avg / Min / Max)...
2026-03-18 13:50:37 | INFO     | kibana_dashboard_setup    |     ✅ 📈 Tốc độ hiện tại (Avg / Min / Max)
2026-03-18 13:50:37 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 📋 Chi tiết theo Sensor...
2026-03-18 13:50:38 | INFO     | kibana_dashboard_setup    |     ✅ 📋 Chi tiết theo Sensor
2026-03-18 13:50:38 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 🔢 Tổng số phương tiện...
2026-03-18 13:50:39 | INFO     | kibana_dashboard_setup    |     ✅ 🔢 Tổng số phương tiện
2026-03-18 13:50:39 | INFO     | kibana_dashboard_setup    | Đã tạo 7/7 visualizations.
2026-03-18 13:50:39 | INFO     | kibana_dashboard_setup    | Tạo Dashboard: 🚦 Smart Traffic Analytics - Real-time Dashboard...
2026-03-18 13:50:40 | INFO     | kibana_dashboard_setup    |   ✅ Dashboard '🚦 Smart Traffic Analytics - Real-time Dashboard' đã tạo!
2026-03-18 13:50:40 | INFO     | kibana_dashboard_setup    | ============================================================
2026-03-18 13:50:40 | INFO     | kibana_dashboard_setup    | ✅ SETUP HOÀN TẤT!
2026-03-18 13:50:40 | INFO     | kibana_dashboard_setup    |    Mở Dashboard tại: http://localhost:5601/app/dashboards#/view/smart-traffic-dashboard
2026-03-18 13:50:40 | INFO     | kibana_dashboard_setup    | ============================================================
2026-03-18 13:58:06 | INFO     | kibana_dashboard_setup    | 🚦 Smart Traffic Analytics — Kibana Dashboard Setup
2026-03-18 13:58:06 | INFO     | kibana_dashboard_setup    |    Kibana URL: http://localhost:5601
2026-03-18 13:58:06 | INFO     | kibana_dashboard_setup    | Kibana URL: http://localhost:5601
2026-03-18 13:58:06 | INFO     | kibana_dashboard_setup    | ============================================================
2026-03-18 13:58:06 | INFO     | kibana_dashboard_setup    | 🚦 BẮT ĐẦU SETUP KIBANA DASHBOARD
2026-03-18 13:58:06 | INFO     | kibana_dashboard_setup    | ============================================================
2026-03-18 13:58:06 | INFO     | kibana_dashboard_setup    | Đợi Kibana sẵn sàng (timeout=120s)...
2026-03-18 13:58:06 | INFO     | kibana_dashboard_setup    | ✅ Kibana sẵn sàng!
2026-03-18 13:58:06 | INFO     | kibana_dashboard_setup    | 🗑️  Xóa saved objects cũ...
2026-03-18 13:58:06 | INFO     | kibana_dashboard_setup    |   ✅ Đã xóa xong saved objects cũ.
2026-03-18 13:58:06 | INFO     | kibana_dashboard_setup    | Tạo Data View: traffic-realtime...
2026-03-18 13:58:06 | INFO     | kibana_dashboard_setup    |   ℹ️  Data View 'traffic-realtime' đã tồn tại.
2026-03-18 13:58:06 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 🗺️ Traffic Map - Bản đồ giao thông...
2026-03-18 13:58:07 | INFO     | kibana_dashboard_setup    |     ✅ 🗺️ Traffic Map - Bản đồ giao thông
2026-03-18 13:58:07 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 📊 Tốc độ trung bình theo thời gian...
2026-03-18 13:58:08 | INFO     | kibana_dashboard_setup    |     ✅ 📊 Tốc độ trung bình theo thời gian
2026-03-18 13:58:08 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 🚗 Lưu lượng xe theo thời gian...
2026-03-18 13:58:09 | INFO     | kibana_dashboard_setup    |     ✅ 🚗 Lưu lượng xe theo thời gian
2026-03-18 13:58:09 | INFO     | kibana_dashboard_setup    |   Tạo visualization: 🔴 Tỷ lệ mức độ tắc nghẽn...
